,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,season,PPG
229,190,Tobias Harris,PF,30,PHI,56,1885,14.8,0.593,0.386,0.132,3.3,16.8,10.1,11.5,1.5,1.5,9.0,18.7,,2.1,2.3,4.4,0.111,,0.4,0.0,0.5,1.2,harrito02,2223,14.8
230,191,Josh Hart,SF-SG,27,TOT,57,1862,13.8,0.605,0.318,0.325,6.5,21.3,13.9,16.1,1.6,0.6,15.4,13.0,,2.9,1.6,4.5,0.115,,-0.1,1.0,0.8,1.3,hartjo01,2223,11.0
231,191,Josh Hart,SF,27,POR,51,1704,12.9,0.586,0.309,0.328,6.5,21.8,14.2,15.9,1.6,0.5,16.0,12.7,,2.2,1.4,3.6,0.102,,-0.7,0.7,0.0,0.9,hartjo01,2223,11.0
232,191,Josh Hart,SG,27,NYK,6,158,23.1,0.746,0.388,0.306,6.2,15.7,11.0,18.2,2.2,1.8,11.2,17.0,,0.6,0.2,0.8,0.254,,5.7,3.6,9.4,0.5,hartjo01,2223,11.0
233,192,Isaiah Hartenstein,C,24,NYK,63,1237,14.2,0.563,0.13,0.203,15.4,21.1,18.2,5.9,1.4,3.8,15.2,11.6,,1.7,1.8,3.5,0.135,,-1.5,0.7,-0.9,0.3,harteis01,2223,5.0
234,193,Udonis Haslem,C,42,MIA,6,46,-3.5,0.116,0.167,0.167,9.6,10.5,10.0,0.0,1.1,2.2,0.0,12.3,,-0.2,0.1,-0.1,-0.126,,-12.2,-4.2,-16.5,-0.2,hasleud01,2223,0.5
235,194,Sam Hauser,PF,25,BOS,60,934,12.5,0.63,0.83,0.052,3.2,14.6,9.0,6.4,0.9,1.5,6.4,14.7,,1.3,1.0,2.3,0.12,,0.6,0.0,0.5,0.6,hausesa01,2223,6.2
236,195,Jaxson Hayes,C,22,NOP,35,467,13.2,0.587,0.22,0.517,7.4,17.5,12.4,7.3,1.7,2.2,12.7,15.1,,0.5,0.6,1.1,0.109,,-2.0,0.6,-1.4,0.1,hayesja02,2223,5.5
237,196,Killian Hayes,PG,21,DET,58,1570,9.9,0.447,0.377,0.102,1.3,10.1,5.6,31.8,2.4,1.2,15.9,19.8,,-1.3,1.0,-0.3,-0.01,,-3.4,-0.4,-3.9,-0.7,hayeski01,2223,9.3
238,197,Gordon Hayward,SF,32,CHO,37,1157,13.5,0.562,0.278,0.28,2.4,12.9,7.5,17.0,1.4,0.6,13.0,19.9,,0.6,0.8,1.4,0.057,,-1.2,-0.4,-1.7,0.1,haywago01,2223,14.5
